#string_protein_id	preferred_name	protein_size	annotation
9606.ENSP00000262039	PIK3C3	887	Phosphatidylinositol 3-kinase catalytic subunit type 3; Catalytic subunit of the PI3K complex that mediates formation of phosphatidylinositol 3-phosphate; different complex forms are believed to play a role in multiple membrane trafficking pathways: PI3KC3-C1 is involved in initiation of autophagosomes and PI3KC3-C2 in maturation of autophagosomes and endocytosis. Involved in regulation of degradative endocytic trafficking and required for the abcission step in cytokinesis, probably in the context of PI3KC3-C2. Involved in the transport of lysosomal enzyme precursors to lysosomes. Requ [...] 
9606.ENSP00000262160	SMAD2	467	Mothers against decapentaplegic homolog 2; Receptor-regulated SMAD (R-SMAD) that is an intracellular signal transducer and transcriptional modulator activated by TGF-beta (transforming growth factor) and activin type 1 receptor kinases. Binds the TRE element in the promoter region of many genes that are regulated by TGF-beta and, on formation of the SMAD2/SMAD4 complex, activates transcription. May act as a tumor suppressor in colorectal carcinoma. Positively regulates PDPK1 kinase activity by stimulating its dissociation from the 14-3-3 protein YWHAQ which acts as a negative regulator
9606.ENSP00000262948	MAP2K2	400	Dual specificity mitogen-activated protein kinase kinase 2; Catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in a Thr-Glu-Tyr sequence located in MAP kinases. Activates the ERK1 and ERK2 MAP kinases (By similarity)
9606.ENSP00000265709	ANK1	1897	Ankyrin-1; Attaches integral membrane proteins to cytoskeletal elements; binds to the erythrocyte membrane protein band 4.2, to Na-K ATPase, to the lymphocyte membrane protein GP85, and to the cytoskeletal proteins fodrin, tubulin, vimentin and desmin. Erythrocyte ankyrins also link spectrin (beta chain) to the cytoplasmic domain of the erythrocytes anion exchange protein; they retain most or all of these binding functions
9606.ENSP00000267101	ERBB3	1342	Receptor tyrosine-protein kinase erbB-3; Tyrosine-protein kinase that plays an essential role as cell surface receptor for neuregulins. Binds to neuregulin-1 (NRG1) and is activated by it; ligand-binding increases phosphorylation on tyrosine residues and promotes its association with the p85 subunit of phosphatidylinositol 3-kinase. May also be activated by CSPG5
9606.ENSP00000275493	EGFR	1210	Epidermal growth factor receptor; Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses. Known ligands include EGF, TGFA/TGF-alpha, amphiregulin, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF. Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates  [...] 
9606.ENSP00000281821	EPHA4	986	Ephrin type-A receptor 4; Receptor tyrosine kinase which binds membrane-bound ephrin family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Highly promiscuous, it has the unique property among Eph receptors to bind and to be physiologically activated by both GPI-anchored ephrin-A and transmembrane ephrin-B ligands including EFNA1 and EFNB3. Up [...] 
9606.ENSP00000284523	WNT3A	352	Protein Wnt-3a; Ligand for members of the frizzled family of seven transmembrane receptors. Wnt-3 and Wnt-3a play distinct roles in cell-cell signaling during morphogenesis of the developing neural tube; Endogenous ligands
9606.ENSP00000285667	HSPA13	471	Heat shock 70 kDa protein 13; Has peptide-independent ATPase activity; Heat shock 70kDa proteins
9606.ENSP00000295025	REL	619	Proto-oncogene c-Rel; Proto-oncogene that may play a role in differentiation and lymphopoiesis. NF-kappa-B is a pleiotropic transcription factor which is present in almost all cell types and is involved in many biological processed such as inflammation, immunity, differentiation, cell growth, tumorigenesis and apoptosis. NF- kappa-B is a homo- or heterodimeric complex formed by the Rel-like domain-containing proteins RELA/p65, RELB, NFKB1/p105, NFKB1/p50, REL and NFKB2/p52. The dimers bind at kappa-B sites in the DNA of their target genes and the individual dimers have distinct prefere [...] 
9606.ENSP00000297185	HSPA9	679	Stress-70 protein, mitochondrial; Chaperone protein which plays an important role in mitochondrial iron-sulfur cluster (ISC) biogenesis. Interacts with and stabilizes ISC cluster assembly proteins FXN, NFU1, NFS1 and ISCU. Regulates erythropoiesis via stabilization of ISC assembly. May play a role in the control of cell proliferation and cellular aging (By similarity); Belongs to the heat shock protein 70 family
9606.ENSP00000306163	ANKRD2	360	Ankyrin repeat domain-containing protein 2; Functions as a negative regulator of myocyte differentiation. May interact with both sarcoplasmic structural proteins and nuclear proteins to regulate gene expression during muscle development and in response to muscle stress; Ankyrin repeat domain containing
9606.ENSP00000319060	CAMK2G	556	Calcium/calmodulin-dependent protein kinase type II subunit gamma; Calcium/calmodulin-dependent protein kinase that functions autonomously after Ca(2+)/calmodulin-binding and autophosphorylation, and is involved in sarcoplsamic reticulum Ca(2+) transport in skeletal muscle and may function in dendritic spine and synapse formation and neuronal plasticity. In slow- twitch muscles, is involved in regulation of sarcoplasmic reticulum (SR) Ca(2+) transport and in fast-twitch muscle participates in the control of Ca(2+) release from the SR through phosphorylation of the ryanodine receptor-co [...] 
9606.ENSP00000324806	GSK3B	433	Glycogen synthase kinase-3 beta; Constitutively active protein kinase that acts as a negative regulator in the hormonal control of glucose homeostasis, Wnt signaling and regulation of transcription factors and microtubules, by phosphorylating and inactivating glycogen synthase (GYS1 or GYS2), EIF2B, CTNNB1/beta-catenin, APC, AXIN1, DPYSL2/CRMP2, JUN, NFATC1/NFATC, MAPT/TAU and MACF1. Requires primed phosphorylation of the majority of its substrates. In skeletal muscle, contributes to insulin regulation of glycogen synthesis by phosphorylating and inhibiting GYS1 activity and hence glyc [...] 
9606.ENSP00000325677	RNF40	1001	E3 ubiquitin-protein ligase BRE1B; Component of the RNF20/40 E3 ubiquitin-protein ligase complex that mediates monoubiquitination of 'Lys-120' of histone H2B (H2BK120ub1). H2BK120ub1 gives a specific tag for epigenetic transcriptional activation and is also prerequisite for histone H3 'Lys-4' and 'Lys-79' methylation (H3K4me and H3K79me, respectively). It thereby plays a central role in histone code and gene regulation. The RNF20/40 complex forms a H2B ubiquitin ligase complex in cooperation with the E2 enzyme UBE2A or UBE2B; reports about the cooperation with UBE2E1/UBCH are contradic [...] 
9606.ENSP00000326031	PPP1CA	341	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit; Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase 1 (PP1) is essential for cell division, and participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. May play an important role in dephosphorylating substrates such as the postsynaptic density-associated Ca(2+)/calmodulin de [...] 
9606.ENSP00000327214	ATP13A2	1180	Cation-transporting ATPase 13A2; ATPase that plays a role in intracellular cation homeostasis and the maintenance of neuronal integrity. Required for a proper lysosomal and mitochondrial maintenance; ATPase orphan transporters
9606.ENSP00000327959	TGIF1	401	Homeobox protein TGIF1; Binds to a retinoid X receptor (RXR) responsive element from the cellular retinol-binding protein II promoter (CRBPII- RXRE). Inhibits the 9-cis-retinoic acid-dependent RXR alpha transcription activation of the retinoic acid responsive element. Active transcriptional corepressor of SMAD2. Links the nodal signaling pathway to the bifurcation of the forebrain and the establishment of ventral midline structures. May participate in the transmission of nuclear signals during development and in the adult, as illustrated by the down-modulation of the RXR alpha activiti [...] 
9606.ENSP00000332247	ATP6V0A2	856	V-type proton ATPase 116 kDa subunit a isoform 2; Part of the proton channel of V-ATPases. Essential component of the endosomal pH-sensing machinery. May play a role in maintaining the Golgi functions, such as glycosylation maturation, by controlling the Golgi pH. In aerobic conditions, involved in intracellular iron homeostasis, thus triggering the activity of Fe(2+) prolyl hydroxylase (PHD) enzymes, and leading to HIF1A hydroxylation and subsequent proteasomal degradation; Belongs to the V-ATPase 116 kDa subunit family
9606.ENSP00000340944	PTPN11	593	Tyrosine-protein phosphatase non-receptor type 11; Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus. Positively regulates MAPK signal transduction pathway. Dephosphorylates GAB1, ARHGAP35 and EGFR. Dephosphorylates ROCK2 at 'Tyr-722' resulting in stimulatation of its RhoA binding activity. Dephosphorylates CDC73; Protein tyrosine phosphatases, non-receptor type
9606.ENSP00000345230	TPM4	284	Tropomyosin alpha-4 chain; Tropomyosin 4; Tropomyosins
9606.ENSP00000345672	CTSB	339	Cathepsin B; Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been implicated in tumor invasion and metastasis; Cathepsins
9606.ENSP00000345772	TEAD3	435	Transcriptional enhancer factor TEF-5; Transcription factor which plays a key role in the Hippo signaling pathway, a pathway involved in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. The core of this pathway is composed of a kinase cascade wherein MST1/MST2, in complex with its regulatory protein SAV1, phosphorylates and activates LATS1/2 in complex with its regulatory protein MOB1, which in turn phosphorylates and inactivates YAP1 oncoprotein and WWTR1/TAZ. Acts by mediating gene expression of YAP1 and WWTR1/TAZ, thereby regulating cell [...] 
9606.ENSP00000346151	MAGI2	1455	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2; Seems to act as scaffold molecule at synaptic junctions by assembling neurotransmitter receptors and cell adhesion proteins. May play a role in regulating activin-mediated signaling in neuronal cells. Enhances the ability of PTEN to suppress AKT1 activation. Plays a role in nerve growth factor (NGF)-induced recruitment of RAPGEF2 to late endosomes and neurite outgrowth; Membrane associated guanylate kinases
9606.ENSP00000347507	MYH7	1935	Myosin-7; Myosins are actin-based motor molecules with ATPase activity essential for muscle contraction. Forms regular bipolar thick filaments that, together with actin thin filaments, constitute the fundamental contractile unit of skeletal and cardiac muscle; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
9606.ENSP00000348381	ADD3	706	Gamma-adducin; Membrane-cytoskeleton-associated protein that promotes the assembly of the spectrin-actin network. Plays a role in actin filament capping. Binds to calmodulin; Belongs to the aldolase class II family. Adducin subfamily
9606.ENSP00000349960	ACTB	375	Actin, cytoplasmic 1; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells
9606.ENSP00000351905	TGFBR2	592	TGF-beta receptor type-2; Transmembrane serine/threonine kinase forming with the TGF-beta type I serine/threonine kinase receptor, TGFBR1, the non- promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinogen [...] 
9606.ENSP00000354871	PPEF1	653	Serine/threonine-protein phosphatase with EF-hands 1; May have a role in the recovery or adaptation response of photoreceptors. May have a role in development; EF-hand domain containing
9606.ENSP00000355388	MPHOSPH8	860	M-phase phosphoprotein 8; Heterochromatin component that specifically recognizes and binds methylated 'Lys-9' of histone H3 (H3K9me) and promotes recruitment of proteins that mediate epigenetic repression. Mediates recruitment of the HUSH complex to H3K9me3 sites: the HUSH complex is recruited to genomic loci rich in H3K9me3 and is probably required to maintain transcriptional silencing by promoting recruitment of SETDB1, a histone methyltransferase that mediates further deposition of H3K9me3. Binds H3K9me and promotes DNA methylation by recruiting DNMT3A to target CpG sites; these can [...] 
9606.ENSP00000355966	NEK2	445	Serine/threonine-protein kinase Nek2; Protein kinase which is involved in the control of centrosome separation and bipolar spindle formation in mitotic cells and chromatin condensation in meiotic cells. Regulates centrosome separation (essential for the formation of bipolar spindles and high-fidelity chromosome separation) by phosphorylating centrosomal proteins such as CROCC, CEP250 and NINL, resulting in their displacement from the centrosomes. Regulates kinetochore microtubule attachment stability in mitosis via phosphorylation of NDC80. Involved in regulation of mitotic checkpoint  [...] 
9606.ENSP00000356899	DDR2	855	Discoidin domain-containing receptor 2; Tyrosine kinase that functions as cell surface receptor for fibrillar collagen and regulates cell differentiation, remodeling of the extracellular matrix, cell migration and cell proliferation. Required for normal bone development. Regulates osteoblast differentiation and chondrocyte maturation via a signaling pathway that involves MAP kinases and leads to the activation of the transcription factor RUNX2. Regulates remodeling of the extracellular matrix by up-regulation of the collagenases MMP1, MMP2 and MMP13, and thereby facilitates cell migrat [...] 
9606.ENSP00000358918	SUFU	484	Suppressor of fused homolog; Negative regulator in the hedgehog signaling pathway. Down-regulates GLI1-mediated transactivation of target genes. Down- regulates GLI2-mediated transactivation of target genes. Part of a corepressor complex that acts on DNA-bound GLI1. May also act by linking GLI1 to BTRC and thereby targeting GLI1 to degradation by the proteasome. Sequesters GLI1, GLI2 and GLI3 in the cytoplasm, this effect is overcome by binding of STK36 to both SUFU and a GLI protein. Negative regulator of beta- catenin signaling. Regulates the formation of either the repressor form (G [...] 
9606.ENSP00000359976	CTH	405	Cystathionine gamma-lyase; Catalyzes the last step in the trans-sulfuration pathway from methionine to cysteine. Has broad substrate specificity. Converts cystathionine to cysteine, ammonia and 2-oxobutanoate. Converts two cysteine molecules to lanthionine and hydrogen sulfide. Can also accept homocysteine as substrate. Specificity depends on the levels of the endogenous substrates. Generates the endogenous signaling molecule hydrogen sulfide (H2S), and so contributes to the regulation of blood pressure. Acts as a cysteine-protein sulfhydrase by mediating sulfhydration of target protei [...] 
9606.ENSP00000360266	JUN	331	Transcription factor AP-1; Transcription factor that recognizes and binds to the enhancer heptamer motif 5'-TGA[CG]TCA-3'. Promotes activity of NR5A1 when phosphorylated by HIPK3 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation. Involved in activated KRAS-mediated transcriptional activation of USP28 in colorectal cancer (CRC) cells. Binds to the USP28 promoter in colorectal cancer (CRC) cells; Basic leucine zipper proteins
9606.ENSP00000364133	TGFBR1	503	TGF-beta receptor type-1; Transmembrane serine/threonine kinase forming with the TGF-beta type II serine/threonine kinase receptor, TGFBR2, the non-promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinogen [...] 
9606.ENSP00000366265	ZNF41	779	Zinc finger protein 41; May be involved in transcriptional regulation; Belongs to the krueppel C2H2-type zinc-finger protein family
9606.ENSP00000367292	FLRT3	649	Leucine-rich repeat transmembrane protein FLRT3; Functions in cell-cell adhesion, cell migration and axon guidance, exerting an attractive or repulsive role depending on its interaction partners. Plays a role in the spatial organization of brain neurons. Plays a role in vascular development in the retina (By similarity). Plays a role in cell-cell adhesion via its interaction with ADGRL3 and probably also other latrophilins that are expressed at the surface of adjacent cells. Interaction with the intracellular domain of ROBO1 mediates axon attraction towards cells expressing NTN1. Media [...] 
9606.ENSP00000367408	CASK	921	Peripheral plasma membrane protein CASK; Multidomain scaffolding protein with a role in synaptic transmembrane protein anchoring and ion channel trafficking. Contributes to neural development and regulation of gene expression via interaction with the transcription factor TBR1. Binds to cell-surface proteins, including amyloid precursor protein, neurexins and syndecans. May mediate a link between the extracellular matrix and the actin cytoskeleton via its interaction with syndecan and with the actin/spectrin-binding protein 4.1; In the N-terminal section; belongs to the protein kinase s [...] 
9606.ENSP00000377936	PPP2R2B	509	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform; The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment. Within the PP2A holoenzyme complex, isoform 2 is required to promote proapoptotic activity (By similarity). Isoform 2 regulates neuronal survival through the mitochondrial fission and fusion balance (By similarity)
9606.ENSP00000377941	ACTN1	914	Alpha-actinin-1; F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein; Belongs to the alpha-actinin family
9606.ENSP00000378769	PPP1CB	327	Serine/threonine-protein phosphatase PP1-beta catalytic subunit; Protein phosphatase that associates with over 200 regulatory proteins to form highly specific holoenzymes which dephosphorylate hundreds of biological targets. Protein phosphatase (PP1) is essential for cell division, it participates in the regulation of glycogen metabolism, muscle contractility and protein synthesis. Involved in regulation of ionic conductances and long-term synaptic plasticity. Component of the PTW/PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progressi [...] 
9606.ENSP00000379616	MYH11	1979	Myosin-11; Muscle contraction; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
9606.ENSP00000381198	KIAA1468	1216	LisH domain and HEAT repeat-containing protein KIAA1468; Armadillo-like helical domain containing
9606.ENSP00000390436	GLI2	1586	Zinc finger protein GLI2; Functions as transcription regulator in the hedgehog (Hh) pathway. Functions as transcriptional activator. May also function as transcriptional repressor (By similarity). Requires STK36 for full transcriptional activator activity. Required for normal embryonic development; Zinc fingers C2H2-type
9606.ENSP00000398273	SOX5	763	Transcription factor SOX-5; Binds specifically to the DNA sequence 5'-AACAAT-3'. Activates transcription of COL2A1 and AGC1 in vitro; SRY-boxes
9606.ENSP00000400341	FOXA2	463	Hepatocyte nuclear factor 3-beta; Transcription factor that is involved in embryonic development, establishment of tissue-specific gene expression and regulation of gene expression in differentiated tissues. Is thought to act as a 'pioneer' factor opening the compacted chromatin for other proteins through interactions with nucleosomal core histones and thereby replacing linker histones at target enhancer and/or promoter sites. Binds DNA with the consensus sequence 5'-[AC]A[AT]T[AG]TT[GT][AG][CT]T[CT]-3' (By similarity). In embryonic development is required for notochord formation. Invo [...] 
9606.ENSP00000402373	ACTA2	377	Actin, aortic smooth muscle; Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells; Belongs to the actin family
9606.ENSP00000404100	PAX6	436	Paired box protein Pax-6; Transcription factor with important functions in the development of the eye, nose, central nervous system and pancreas. Required for the differentiation of pancreatic islet alpha cells (By similarity). Competes with PAX4 in binding to a common element in the glucagon, insulin and somatostatin promoters. Regulates specification of the ventral neuron subtypes by establishing the correct progenitor domains (By similarity). Isoform 5a appears to function as a molecular switch that specifies target genes; Belongs to the paired homeobox family
9606.ENSP00000406220	SLC13A5	568	Solute carrier family 13 member 5; High-affinity sodium/citrate cotransporter that mediates citrate entry into cells. The transport process is electrogenic; it is the trivalent form of citrate rather than the divalent form that is recognized as a substrate. May facilitate the utilization of circulating citrate for the generation of metabolic energy and for the synthesis of fatty acids and cholesterol; Belongs to the SLC13A/DASS transporter (TC 2.A.47) family. NADC subfamily
9606.ENSP00000407213	IQCA1	830	IQ motif containing with AAA domain 1
9606.ENSP00000407586	HRAS	189	GTPase HRas; Involved in the activation of Ras protein signal transduction. Ras proteins bind GDP/GTP and possess intrinsic GTPase activity; Belongs to the small GTPase superfamily. Ras family
9606.ENSP00000411355	PTPRC	1306	Receptor-type tyrosine-protein phosphatase C; Protein tyrosine-protein phosphatase required for T-cell activation through the antigen receptor. Acts as a positive regulator of T-cell coactivation upon binding to DPP4. The first PTPase domain has enzymatic activity, while the second one seems to affect the substrate specificity of the first one. Upon T-cell activation, recruits and dephosphorylates SKAP1 and FYN. Dephosphorylates LYN, and thereby modulates LYN activity (By similarity); Belongs to the protein-tyrosine phosphatase family. Receptor class 1/6 subfamily
9606.ENSP00000416330	TGFBI	683	Transforming growth factor-beta-induced protein ig-h3; Plays a role in cell adhesion. May play a role in cell-collagen interactions (By similarity)
9606.ENSP00000451828	AKT1	480	RAC-alpha serine/threonine-protein kinase; AKT1 is one of 3 closely related serine/threonine- protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of th [...] 
9606.ENSP00000455426	ZNF423	1284	Zinc finger protein 423; Transcription factor that can both act as an activator or a repressor depending on the context. Plays a central role in BMP signaling and olfactory neurogenesis. Associates with SMADs in response to BMP2 leading to activate transcription of BMP target genes. Acts as a transcriptional repressor via its interaction with EBF1, a transcription factor involved in terminal olfactory receptor neurons differentiation; this interaction preventing EBF1 to bind DNA and activate olfactory-specific genes. Involved in olfactory neurogenesis by participating in a developmenta [...] 
9606.ENSP00000469689	SHANK2	1849	SH3 and multiple ankyrin repeat domains protein 2; Seems to be an adapter protein in the postsynaptic density (PSD) of excitatory synapses that interconnects receptors of the postsynaptic membrane including NMDA-type and metabotropic glutamate receptors, and the actin-based cytoskeleton. May play a role in the structural and functional organization of the dendritic spine and synaptic junction; Belongs to the SHANK family
9606.ENSP00000479618	MYC	454	Myc proto-oncogene protein; Transcription factor that binds DNA in a non-specific manner, yet also specifically recognizes the core sequence 5'- CAC[GA]TG-3'. Activates the transcription of growth-related genes. Binds to the VEGFA promoter, promoting VEGFA production and subsequent sprouting angiogenesis; Basic helix-loop-helix proteins
